id_gene,ensembl,gene_name,hgnc_symbol,protein_name,protein_id
87,ENSG00000127318,IL22,IL22,IL22_HUMAN,87
88,ENSG00000183709,IFNL2,IFNL2,IFNL2_HUMAN,88
89,ENSG00000197110,IFNL3,IFNL3,IFNL3_HUMAN,89
90,ENSG00000182393,IFNL1,IFNL1,IFNL1_HUMAN,90
91,ENSG00000121858,TNFSF10,TNFSF10,TNFSF10_HUMAN,91
92,ENSG00000120659,TNFSF11,TNFSF11,TNFSF11_HUMAN,92
93,ENSG00000239697,TNFSF12,TNFSF12,TNFSF12_HUMAN,93
94,ENSG00000232810,TNF,TNF,TNF_HUMAN,94
95,ENSG00000226979,LTA,LTA,LTA_HUMAN,95
96,ENSG00000227507,LTB,LTB,LTB_HUMAN,96
97,ENSG00000125735,TNFSF14,TNFSF14,TNFSF14_HUMAN,97
98,ENSG00000117560,FASLG,FASLG,FASLG_HUMAN,98
99,ENSG00000102245,CD40LG,CD40LG,CD40LG_HUMAN,99
100,ENSG00000125726,CD70,CD70,CD70_HUMAN,100
101,ENSG00000106952,TNFSF8,TNFSF8,TNFSF8_HUMAN,101
102,ENSG00000125657,TNFSF9,TNFSF9,TNFSF9_HUMAN,102
103,ENSG00000117586,TNFSF4,TNFSF4,TNFSF4_HUMAN,103
104,ENSG00000120337,TNFSF18,TNFSF18,TNFSF18_HUMAN,104
105,ENSG00000161955,TNFSF13,TNFSF13,TNFSF13_HUMAN,105
106,ENSG00000102524,TNFSF13B,TNFSF13B,TNFSF13B_HUMAN,106
107,ENSG00000158813,EDA,EDA,EDA_HUMAN,107
108,ENSG00000105329,TGFB1,TGFB1,TGFB1_HUMAN,108
109,ENSG00000092969,TGFB2,TGFB2,TGFB2_HUMAN,109
110,ENSG00000119699,TGFB3,TGFB3,TGFB3_HUMAN,110
111,ENSG00000122641,INHBA,INHBA,INHBA_HUMAN,111
112,ENSG00000163083,INHBB,INHBB,INHBB_HUMAN,112
113,ENSG00000175189,INHBC,INHBC,INHBC_HUMAN,113
114,ENSG00000139269,INHBE,INHBE,INHBE_HUMAN,114
115,ENSG00000104899,AMH,AMH,AMH_HUMAN,115
116,ENSG00000125845,BMP2,BMP2,BMP2_HUMAN,116
117,ENSG00000101144,BMP7,BMP7,BMP7_HUMAN,117
118,ENSG00000125965,GDF5,GDF5,GDF5_HUMAN,118
119,ENSG00000115008,IL1A,IL1A,IL1A_HUMAN,119
120,ENSG00000125538,IL1B,IL1B,IL1B_HUMAN,120
121,ENSG00000150782,IL18,IL18,IL18_HUMAN,121
122,ENSG00000108702,CCL1,CCL1,CCL1_HUMAN,122
123,ENSG00000166090,IL25,IL25,IL25_HUMAN,123
124,ENSG00000112115,IL17A,IL17A,IL17A_HUMAN,124
125,ENSG00000112116,IL17F,IL17F,IL17F_HUMAN,125
126,ENSG00000124391,IL17C,IL17C,IL17C_HUMAN,126
127,ENSG00000127743,IL17B,IL17B,IL17B_HUMAN,127
128,ENSG00000116815,CD58,CD58,CD58_HUMAN,128
129,ENSG00000121594,CD80,CD80,CD80_HUMAN,129
130,ENSG00000114013,CD86,CD86,CD86_HUMAN,130
131,ENSG00000204257,HLA-DMA,HLA-DMA,HLA-DMA_HUMAN,131
132,ENSG00000206503,HLA-A,HLA-A,HLA-A_HUMAN,132
133,ENSG00000120217,CD274,CD274,CD274_HUMAN,133
134,ENSG00000197646,PDCD1LG2,PDCD1LG2,PDCD1LG2_HUMAN,134
135,ENSG00000160255,ITGB2,ITGB2,ITGB2_HUMAN,135
136,ENSG00000005844,ITGAL,ITGAL,ITGAL_HUMAN,136
137,ENSG00000090339,ICAM1,ICAM1,ICAM1_HUMAN,137
138,ENSG00000178562,CD28,CD28,CD28_HUMAN,138
139,ENSG00000169896,ITGAM,ITGAM,ITGAM_HUMAN,139
140,ENSG00000150093,ITGB1,ITGB1,ITGB1_HUMAN,140
141,ENSG00000115232,ITGA4,ITGA4,ITGA4_HUMAN,141
142,ENSG00000144668,ITGA9,ITGA9,ITGA9_HUMAN,142
143,ENSG00000110876,SELPLG,SELPLG,SELPLG_HUMAN,143
144,ENSG00000261371,PECAM1,PECAM1,PECAM1_HUMAN,144
145,ENSG00000073008,PVR,PVR,PVR_HUMAN,145
146,ENSG00000130202,NECTIN2,NECTIN2,NECTIN2_HUMAN,146
147,ENSG00000170558,CDH2,CDH2,CDH2_HUMAN,147
148,ENSG00000021645,NRXN3,NRXN3,NRXN3_HUMAN,148
149,ENSG00000018236,CNTN1,CNTN1,CNTN1_HUMAN,149
150,ENSG00000149294,NCAM1,NCAM1,NCAM1_HUMAN,150
151,ENSG00000198910,L1CAM,L1CAM,L1CAM_HUMAN,151
152,ENSG00000110400,NECTIN1,NECTIN1,NECTIN1_HUMAN,152
153,ENSG00000039068,CDH1,CDH1,CDH1_HUMAN,153
154,ENSG00000179242,CDH4,CDH4,CDH4_HUMAN,154
155,ENSG00000170017,ALCAM,ALCAM,ALCAM_HUMAN,155
156,ENSG00000081237,PTPRC,PTPRC,PTPRC_HUMAN,156
157,ENSG00000101017,CD40,CD40,CD40_HUMAN,157
158,ENSG00000185758,CLDN24,CLDN24,CLDN24_HUMAN,158
159,ENSG00000197822,OCLN,OCLN,OCLN_HUMAN,159
160,ENSG00000158769,F11R,F11R,F11R_HUMAN,160
161,ENSG00000154721,JAM2,JAM2,JAM2_HUMAN,161
162,ENSG00000166086,JAM3,JAM3,JAM3_HUMAN,162
163,ENSG00000149564,ESAM,ESAM,ESAM_HUMAN,163
164,ENSG00000179776,CDH5,CDH5,CDH5_HUMAN,164
165,ENSG00000002586,CD99,CD99,CD99_HUMAN,165
166,ENSG00000174175,SELP,SELP,SELP_HUMAN,166
167,ENSG00000108622,ICAM2,ICAM2,ICAM2_HUMAN,167
168,ENSG00000076662,ICAM3,ICAM3,ICAM3_HUMAN,168
169,ENSG00000162692,VCAM1,VCAM1,VCAM1_HUMAN,169
170,ENSG00000099866,MADCAM1,MADCAM1,MADCAM1_HUMAN,170
171,ENSG00000188404,SELL,SELL,SELL_HUMAN,171
172,ENSG00000174059,CD34,CD34,CD34_HUMAN,172
173,ENSG00000007908,SELE,SELE,SELE_HUMAN,173
174,ENSG00000177707,NECTIN3,NECTIN3,NECTIN3_HUMAN,174
175,ENSG00000182985,CADM1,CADM1,CADM1_HUMAN,175
176,ENSG00000172260,NEGR1,NEGR1,NEGR1_HUMAN,176
177,ENSG00000162706,CADM3,CADM3,CADM3_HUMAN,177
178,ENSG00000173482,PTPRM,PTPRM,PTPRM_HUMAN,178
179,ENSG00000184144,CNTN2,CNTN2,CNTN2_HUMAN,179
180,ENSG00000163531,NFASC,NFASC,NFASC_HUMAN,180
181,ENSG00000158887,MPZ,MPZ,MPZ_HUMAN,181
182,ENSG00000105695,MAG,MAG,MAG_HUMAN,182
183,ENSG00000013297,CLDN11,CLDN11,CLDN11_HUMAN,183
184,ENSG00000062038,CDH3,CDH3,CDH3_HUMAN,184
185,ENSG00000129910,CDH15,CDH15,CDH15_HUMAN,185
186,ENSG00000148948,LRRC4C,LRRC4C,LRRC4C_HUMAN,186
187,ENSG00000128594,LRRC4,LRRC4,LRRC4_HUMAN,187
188,ENSG00000131409,LRRC4B,LRRC4B,LRRC4B_HUMAN,188
189,ENSG00000100448,CTSG,CTSG,CTSG_HUMAN,189
190,ENSG00000135346,CGA,CGA,CGA_HUMAN,190
191,ENSG00000136488,CSH1,CSH1,CSH1_HUMAN,191
192,ENSG00000108821,COL1A1,COL1A1,COL1A1_HUMAN,192
193,ENSG00000050555,LAMC3,LAMC3,LAMC3_HUMAN,193
194,ENSG00000136457,CHAD,CHAD,CHAD_HUMAN,194
195,ENSG00000189056,RELN,RELN,RELN_HUMAN,195
196,ENSG00000105664,COMP,COMP,COMP_HUMAN,196
197,ENSG00000115414,FN1,FN1,FN1_HUMAN,197
198,ENSG00000118785,SPP1,SPP1,SPP1_HUMAN,198
199,ENSG00000109072,VTN,VTN,VTN_HUMAN,199
200,ENSG00000041982,TNC,TNC,TNC_HUMAN,200
201,ENSG00000110799,VWF,VWF,VWF_HUMAN,201
202,ENSG00000029559,IBSP,IBSP,IBSP_HUMAN,202
203,ENSG00000188157,AGRN,AGRN,AGRN_HUMAN,203
204,ENSG00000142798,HSPG2,HSPG2,HSPG2_HUMAN,204
205,ENSG00000125730,C3,C3,C3_HUMAN,205
206,ENSG00000128165,ADM2,ADM2,ADM2_HUMAN,206
207,ENSG00000175868,CALCB,CALCB,CALCB_HUMAN,207
208,ENSG00000121351,IAPP,IAPP,IAPP_HUMAN,208
209,ENSG00000110680,CALCA,CALCA,CALCA_HUMAN,209
210,ENSG00000148926,ADM,ADM,ADM_HUMAN,210
211,ENSG00000241563,CORT,CORT,CORT_HUMAN,211
212,ENSG00000157005,SST,SST,SST_HUMAN,212
213,ENSG00000169218,RSPO1,RSPO1,RSPO1_HUMAN,213
214,ENSG00000101282,RSPO4,RSPO4,RSPO4_HUMAN,214
215,ENSG00000146374,RSPO3,RSPO3,RSPO3_HUMAN,215
216,ENSG00000147655,RSPO2,RSPO2,RSPO2_HUMAN,216
217,ENSG00000198668,CALM1,CALM1,CALM1_HUMAN,217
218,ENSG00000160014,CALM3,CALM3,CALM3_HUMAN,218
219,ENSG00000143933,CALM2,CALM2,CALM2_HUMAN,219
220,ENSG00000248099,INSL3,INSL3,INSL3_HUMAN,220
221,ENSG00000107018,RLN1,RLN1,RLN1_HUMAN,221
222,ENSG00000107014,RLN2,RLN2,RLN2_HUMAN,222
223,ENSG00000171136,RLN3,RLN3,RLN3_HUMAN,223
224,ENSG00000172410,INSL5,INSL5,INSL5_HUMAN,224
225,ENSG00000106538,RARRES2,RARRES2,RARRES2_HUMAN,225
226,ENSG00000188710,QRFP,QRFP,QRFP_HUMAN,226
227,ENSG00000132965,ALOX5AP,ALOX5AP,ALOX5AP_HUMAN,227
228,ENSG00000171388,APLN,APLN,APLN_HUMAN,228
229,ENSG00000104826,LHB,LHB,LHB_HUMAN,229
230,ENSG00000134200,TSHB,TSHB,TSHB_HUMAN,230
231,ENSG00000131808,FSHB,FSHB,FSHB_HUMAN,231
232,ENSG00000135046,ANXA1,ANXA1,ANXA1_HUMAN,232
233,ENSG00000013583,HEBP1,HEBP1,HEBP1_HUMAN,233
234,ENSG00000164047,CAMP,CAMP,CAMP_HUMAN,234
235,ENSG00000173432,SAA1,SAA1,SAA1_HUMAN,235
236,ENSG00000142192,APP,APP,APP_HUMAN,236
237,Unknown00001,YARS,YARS,YARS_HUMAN,237
238,ENSG00000105372,RPS19,RPS19,RPS19_HUMAN,238
239,ENSG00000106804,C5,C5,C5_HUMAN,239
240,ENSG00000171711,DEFB4A,DEFB4A,DEFB4A_HUMAN,240
241,ENSG00000177257,DEFB4B,DEFB4B,DEFB4B_HUMAN,241
242,ENSG00000275302,CCL4,CCL4,CCL4_HUMAN,242
243,ENSG00000277632,CCL3,CCL3,CCL3_HUMAN,243
244,ENSG00000101280,ANGPT4,ANGPT4,ANGPT4_HUMAN,244
245,ENSG00000154188,ANGPT1,ANGPT1,ANGPT1_HUMAN,245
246,ENSG00000127129,EDN2,EDN2,EDN2_HUMAN,246
247,ENSG00000078401,EDN1,EDN1,EDN1_HUMAN,247
248,ENSG00000124205,EDN3,EDN3,EDN3_HUMAN,248
249,ENSG00000197487,GALP,GALP,GALP_HUMAN,249
250,ENSG00000069482,GAL,GAL,GAL_HUMAN,250
251,ENSG00000184502,GAST,GAST,GAST_HUMAN,251
252,ENSG00000187094,CCK,CCK,CCK_HUMAN,252
253,ENSG00000115263,GCG,GCG,GCG_HUMAN,253
254,ENSG00000157017,GHRL,GHRL,GHRL_HUMAN,254
255,ENSG00000159224,GIP,GIP,GIP_HUMAN,255
256,ENSG00000125787,GNRH2,GNRH2,GNRH2_HUMAN,256
257,ENSG00000147437,GNRH1,GNRH1,GNRH1_HUMAN,257
258,ENSG00000161610,HCRT,HCRT,HCRT_HUMAN,258
259,ENSG00000167244,IGF2,IGF2,IGF2_HUMAN,259
260,ENSG00000017427,IGF1,IGF1,IGF1_HUMAN,260
261,ENSG00000254647,INS,INS,INS_HUMAN,261
262,ENSG00000170498,KISS1,KISS1,KISS1_HUMAN,262
263,ENSG00000113889,KNG1,KNG1,KNG1_HUMAN,263
264,ENSG00000096395,MLN,MLN,MLN_HUMAN,264
265,ENSG00000173531,MST1,MST1,MST1_HUMAN,265
266,ENSG00000124479,NDP,NDP,NDP_HUMAN,266
267,ENSG00000197696,NMB,NMB,NMB_HUMAN,267
268,ENSG00000134443,GRP,GRP,GRP_HUMAN,268
269,ENSG00000109255,NMU,NMU,NMU_HUMAN,269
270,ENSG00000204640,NMS,NMS,NMS_HUMAN,270
271,ENSG00000163273,NPPC,NPPC,NPPC_HUMAN,271
272,ENSG00000214285,NPS,NPS,NPS_HUMAN,272
273,ENSG00000183971,NPW,NPW,NPW_HUMAN,273
274,ENSG00000183979,NPB,NPB,NPB_HUMAN,274
275,ENSG00000185652,NTF3,NTF3,NTF3_HUMAN,275
276,ENSG00000134259,NGF,NGF,NGF_HUMAN,276
277,ENSG00000225950,NTF4,NTF4,NTF4_HUMAN,277
278,ENSG00000176697,BDNF,BDNF,BDNF_HUMAN,278
279,ENSG00000133636,NTS,NTS,NTS_HUMAN,279
280,ENSG00000122218,COPA,COPA,COPA_HUMAN,280
281,ENSG00000188729,OSTN,OSTN,OSTN_HUMAN,281
282,ENSG00000101405,OXT,OXT,OXT_HUMAN,282
283,ENSG00000101200,AVP,AVP,AVP_HUMAN,283
284,ENSG00000183395,PMCH,PMCH,PMCH_HUMAN,284
285,ENSG00000168081,PNOC,PNOC,PNOC_HUMAN,285
286,ENSG00000143761,ARF1,ARF1,ARF1_HUMAN,286
287,ENSG00000120937,NPPB,NPPB,NPPB_HUMAN,287
288,ENSG00000175206,NPPA,NPPA,NPPA_HUMAN,288
289,ENSG00000213218,CSH2,CSH2,CSH2_HUMAN,289
290,ENSG00000204414,CSHL1,CSHL1,CSHL1_HUMAN,290
291,ENSG00000163421,PROK2,PROK2,PROK2_HUMAN,291
292,ENSG00000143125,PROK1,PROK1,PROK1_HUMAN,292
293,ENSG00000184500,PROS1,PROS1,PROS1_HUMAN,293
294,ENSG00000183087,GAS6,GAS6,GAS6_HUMAN,294
295,ENSG00000197746,PSAP,PSAP,PSAP_HUMAN,295
296,ENSG00000142538,PTH2,PTH2,PTH2_HUMAN,296
297,ENSG00000087494,PTHLH,PTHLH,PTHLH_HUMAN,297
298,ENSG00000071677,PRLH,PRLH,PRLH_HUMAN,298
299,ENSG00000122585,NPY,NPY,NPY_HUMAN,299
300,ENSG00000131096,PYY,PYY,PYY_HUMAN,300
301,ENSG00000108849,PPY,PPY,PPY_HUMAN,301
302,ENSG00000105954,NPVF,NPVF,NPVF_HUMAN,302
303,ENSG00000139574,NPFF,NPFF,NPFF_HUMAN,303
304,ENSG00000135744,AGT,AGT,AGT_HUMAN,304
305,ENSG00000166863,TAC3,TAC3,TAC3_HUMAN,305
306,ENSG00000176358,TAC4,TAC4,TAC4_HUMAN,306
307,ENSG00000006128,TAC1,TAC1,TAC1_HUMAN,307
308,ENSG00000186265,BTLA,BTLA,BTLA_HUMAN,308
309,ENSG00000181634,TNFSF15,TNFSF15,TNFSF15_HUMAN,309
310,ENSG00000170893,TRH,TRH,TRH_HUMAN,310
311,ENSG00000157168,NRG1,NRG1,NRG1_HUMAN,311
312,ENSG00000158458,NRG2,NRG2,NRG2_HUMAN,312
313,ENSG00000169752,NRG4,NRG4,NRG4_HUMAN,313
314,ENSG00000185737,NRG3,NRG3,NRG3_HUMAN,314
315,ENSG00000174808,BTC,BTC,BTC_HUMAN,315
316,ENSG00000113070,HBEGF,HBEGF,HBEGF_HUMAN,316
317,ENSG00000124882,EREG,EREG,EREG_HUMAN,317
318,ENSG00000182585,EPGN,EPGN,EPGN_HUMAN,318
319,ENSG00000163235,TGFA,TGFA,TGFA_HUMAN,319
320,ENSG00000109321,AREG,AREG,AREG_HUMAN,320
321,ENSG00000147571,CRH,CRH,CRH_HUMAN,321
322,ENSG00000145040,UCN2,UCN2,UCN2_HUMAN,322
323,ENSG00000163794,UCN,UCN,UCN_HUMAN,323
324,ENSG00000178473,UCN3,UCN3,UCN3_HUMAN,324
325,ENSG00000181195,PENK,PENK,PENK_HUMAN,325
326,ENSG00000101327,PDYN,PDYN,PDYN_HUMAN,326
327,ENSG00000115138,POMC,POMC,POMC_HUMAN,327
328,ENSG00000101440,ASIP,ASIP,ASIP_HUMAN,328
329,ENSG00000159723,AGRP,AGRP,AGRP_HUMAN,329
330,ENSG00000188958,UTS2B,UTS2B,UTS2B_HUMAN,330
331,ENSG00000049247,UTS2,UTS2,UTS2_HUMAN,331
332,ENSG00000150630,VEGFC,VEGFC,VEGFC_HUMAN,332
333,ENSG00000070031,SCT,SCT,SCT_HUMAN,333
334,ENSG00000146469,VIP,VIP,VIP_HUMAN,334
335,ENSG00000141433,ADCYAP1,ADCYAP1,ADCYAP1_HUMAN,335
336,ENSG00000118702,GHRH,GHRH,GHRH_HUMAN,336
337,ENSG00000162552,WNT4,WNT4,WNT4_HUMAN,337
338,ENSG00000114251,WNT5A,WNT5A,WNT5A_HUMAN,338
339,ENSG00000154342,WNT3A,WNT3A,WNT3A_HUMAN,339
340,ENSG00000175899,A2M,A2M,A2M_HUMAN,340
341,ENSG00000129673,AANAT,AANAT,AANAT_HUMAN,341
342,ENSG00000148848,ADAM12,ADAM12,ADAM12_HUMAN,342
343,ENSG00000143537,ADAM15,ADAM15,ADAM15_HUMAN,343
344,ENSG00000151694,ADAM17,ADAM17,ADAM17_HUMAN,344
345,ENSG00000114948,ADAM23,ADAM23,ADAM23_HUMAN,345
346,ENSG00000104755,ADAM2,ADAM2,ADAM2_HUMAN,346
347,ENSG00000168615,ADAM9,ADAM9,ADAM9_HUMAN,347
348,ENSG00000181092,ADIPOQ,ADIPOQ,ADIPOQ_HUMAN,348
349,ENSG00000091879,ANGPT2,ANGPT2,ANGPT2_HUMAN,349
350,ENSG00000116194,ANGPTL1,ANGPTL1,ANGPTL1_HUMAN,350
351,ENSG00000084674,APOB,APOB,APOB_HUMAN,351
352,ENSG00000130203,APOE,APOE,APOE_HUMAN,352
353,ENSG00000117407,ARTN,ARTN,ARTN_HUMAN,353
354,ENSG00000163217,BMP10,BMP10,BMP10_HUMAN,354
355,ENSG00000130385,BMP15,BMP15,BMP15_HUMAN,355
356,ENSG00000152785,BMP3,BMP3,BMP3_HUMAN,356
357,ENSG00000125378,BMP4,BMP4,BMP4_HUMAN,357
358,ENSG00000112175,BMP5,BMP5,BMP5_HUMAN,358
359,ENSG00000153162,BMP6,BMP6,BMP6_HUMAN,359
360,ENSG00000116985,BMP8B,BMP8B,BMP8B_HUMAN,360
361,ENSG00000179218,CALR,CALR,CALR_HUMAN,361
362,ENSG00000272398,CD24,CD24,CD24_HUMAN,362
363,ENSG00000000971,CFH,CFH,CFH_HUMAN,363
364,ENSG00000105472,CLEC11A,CLEC11A,CLEC11A_HUMAN,364
365,ENSG00000182871,COL18A1,COL18A1,COL18A1_HUMAN,365
366,ENSG00000139219,COL2A1,COL2A1,COL2A1_HUMAN,366
367,ENSG00000187498,COL4A1,COL4A1,COL4A1_HUMAN,367
368,ENSG00000080573,COL5A3,COL5A3,COL5A3_HUMAN,368
369,Unknown00002,CTGF,CTGF,CTGF_HUMAN,369
370,Unknown00003,CYR61,CYR61,CYR61_HUMAN,370
371,ENSG00000139549,DHH,DHH,DHH_HUMAN,371
372,ENSG00000107984,DKK1,DKK1,DKK1_HUMAN,372
373,ENSG00000155011,DKK2,DKK2,DKK2_HUMAN,373
374,ENSG00000185559,DLK1,DLK1,DLK1_HUMAN,374
375,ENSG00000198719,DLL1,DLL1,DLL1_HUMAN,375
376,ENSG00000090932,DLL3,DLL3,DLL3_HUMAN,376
377,ENSG00000128917,DLL4,DLL4,DLL4_HUMAN,377
378,ENSG00000167065,DUSP18,DUSP18,DUSP18_HUMAN,378
379,ENSG00000169242,EFNA1,EFNA1,EFNA1_HUMAN,379
380,ENSG00000099617,EFNA2,EFNA2,EFNA2_HUMAN,380
381,ENSG00000143590,EFNA3,EFNA3,EFNA3_HUMAN,381
382,ENSG00000243364,EFNA4,EFNA4,EFNA4_HUMAN,382
383,ENSG00000184349,EFNA5,EFNA5,EFNA5_HUMAN,383
384,ENSG00000090776,EFNB1,EFNB1,EFNB1_HUMAN,384
385,ENSG00000125266,EFNB2,EFNB2,EFNB2_HUMAN,385
386,ENSG00000108947,EFNB3,EFNB3,EFNB3_HUMAN,386
387,ENSG00000180210,F2,F2,F2_HUMAN,387
388,ENSG00000057593,F7,F7,F7_HUMAN,388
389,ENSG00000185010,F8,F8,F8_HUMAN,389
390,ENSG00000101981,F9,F9,F9_HUMAN,390
391,ENSG00000171560,FGA,FGA,FGA_HUMAN,391
392,ENSG00000070193,FGF10,FGF10,FGF10_HUMAN,392
393,ENSG00000161958,FGF11,FGF11,FGF11_HUMAN,393
394,ENSG00000114279,FGF12,FGF12,FGF12_HUMAN,394
395,ENSG00000129682,FGF13,FGF13,FGF13_HUMAN,395
396,ENSG00000102466,FGF14,FGF14,FGF14_HUMAN,396
397,ENSG00000196468,FGF16,FGF16,FGF16_HUMAN,397
398,ENSG00000158815,FGF17,FGF17,FGF17_HUMAN,398
399,ENSG00000156427,FGF18,FGF18,FGF18_HUMAN,399
400,ENSG00000162344,FGF19,FGF19,FGF19_HUMAN,400
401,ENSG00000113578,FGF1,FGF1,FGF1_HUMAN,401
402,ENSG00000070388,FGF22,FGF22,FGF22_HUMAN,402
403,ENSG00000118972,FGF23,FGF23,FGF23_HUMAN,403
404,ENSG00000138685,FGF2,FGF2,FGF2_HUMAN,404
